Year,County,Region,Placement Intention,Count,Average Months since Termination of Parental Rights
2021,Wilbarger,2-Abilene,Permanent,12,10.747311827957
2021,Willacy,11-Edinburg,Not Permanent,4,26.7741935483871
2021,Willacy,11-Edinburg,Permanent,3,15.3010752688172
2021,Williamson,7-Austin,Not Permanent,12,32.1505376344086
2021,Williamson,7-Austin,Permanent,24,10.4489247311828
2021,Wilson,8-San Antonio,Not Permanent,6,16.5
2021,Wilson,8-San Antonio,Permanent,2,4.30645161290323
2021,Winkler,9-Midland,Not Permanent,1,39.6774193548387
2021,Winkler,9-Midland,Permanent,3,2.67741935483871
2021,Wise,3-Arlington,Not Permanent,7,24.0506912442396
2021,Wise,3-Arlington,Permanent,1,19.5161290322581
2021,Wood,4-Tyler,Not Permanent,3,96.258064516129
2021,Wood,4-Tyler,Permanent,4,8.38709677419355
2021,Yoakum,1-Lubbock,Not Permanent,1,82.4838709677419
2021,Yoakum,1-Lubbock,Permanent,3,11.4516129032258
2021,Young,2-Abilene,Permanent,6,3.16666666666667
2021,Zapata,11-Edinburg,Not Permanent,3,88.8817204301075
2021,Zavala,8-San Antonio,Not Permanent,1,0.129032258064516
2021,Zavala,8-San Antonio,Permanent,2,15.3548387096774
2020,Anderson,4-Tyler,Not Permanent,5,31.2774193548387
2020,Anderson,4-Tyler,Permanent,19,20.5925297113752
2020,Andrews,9-Midland,Not Permanent,7,58.5299539170507
2020,Andrews,9-Midland,Permanent,1,6.35483870967742
2020,Angelina,5-Beaumont,Not Permanent,10,27.0225806451613
2020,Angelina,5-Beaumont,Permanent,26,13.8684863523573
2020,Aransas,11-Edinburg,Not Permanent,11,23.5865102639296
2020,Aransas,11-Edinburg,Permanent,16,7.26411290322581
2020,Archer,2-Abilene,Not Permanent,2,0.32258064516129
2020,Atascosa,8-San Antonio,Not Permanent,20,17.7854838709677
2020,Atascosa,8-San Antonio,Permanent,26,9.24193548387097
2020,Austin,6-Houston,Not Permanent,1,11.2258064516129
2020,Bailey,1-Lubbock,Not Permanent,7,10.073732718894
2020,Bailey,1-Lubbock,Permanent,6,11.0430107526882
2020,Bandera,8-San Antonio,Not Permanent,4,17.8387096774194
2020,Bandera,8-San Antonio,Permanent,6,12.3763440860215
2020,Bastrop,7-Austin,Not Permanent,5,45.3032258064516
2020,Bastrop,7-Austin,Permanent,15,11.5677419354839
2020,Bee,11-Edinburg,Not Permanent,6,21.5860215053763
2020,Bee,11-Edinburg,Permanent,6,1.31182795698925
2020,Bell,7-Austin,Not Permanent,59,21.4259158009841
2020,Bell,7-Austin,Permanent,103,13.2370811149389
2020,Bexar,8-San Antonio,Not Permanent,351,24.5352449223417
2020,Bexar,8-San Antonio,Permanent,501,10.591526624171
2020,Blanco,7-Austin,Not Permanent,2,40.4032258064516
2020,Blanco,7-Austin,Permanent,3,7.96774193548387
2020,Bosque,7-Austin,Not Permanent,7,48.2350230414747
2020,Bosque,7-Austin,Permanent,11,12.4105571847507
2020,Bowie,4-Tyler,Not Permanent,4,37.1209677419355
2020,Bowie,4-Tyler,Permanent,16,12.875
2020,Brazoria,6-Houston,Not Permanent,19,25.5432937181664
2020,Brazoria,6-Houston,Permanent,15,16.0301075268817
2020,Brazos,7-Austin,Not Permanent,10,33.8967741935484
2020,Brazos,7-Austin,Permanent,14,6.38709677419355
2020,Brooks,11-Edinburg,Permanent,1,8.61290322580645
2020,Brown,2-Abilene,Not Permanent,13,29.0471464019851
2020,Brown,2-Abilene,Permanent,10,18.3
2020,Burleson,7-Austin,Not Permanent,2,78.2741935483871
2020,Burleson,7-Austin,Permanent,1,0
2020,Burnet,7-Austin,Permanent,8,11.3991935483871
2020,Caldwell,7-Austin,Not Permanent,4,16.1854838709677
2020,Caldwell,7-Austin,Permanent,21,11.0983102918587
2020,Calhoun,8-San Antonio,Not Permanent,1,71.2258064516129
2020,Calhoun,8-San Antonio,Permanent,6,2.67741935483871
2020,Callahan,2-Abilene,Not Permanent,1,91
2020,Callahan,2-Abilene,Permanent,4,7.48387096774194
2020,Cameron,11-Edinburg,Not Permanent,42,20.5284178187404
2020,Cameron,11-Edinburg,Permanent,17,7.11764705882353
2020,Camp,4-Tyler,Not Permanent,2,23.1612903225806
2020,Camp,4-Tyler,Permanent,6,15.2043010752688
2020,Carson,1-Lubbock,Not Permanent,1,9.29032258064516
2020,Carson,1-Lubbock,Permanent,5,10.7483870967742
2020,Cass,4-Tyler,Not Permanent,1,26.741935483871
2020,Cass,4-Tyler,Permanent,4,11.7822580645161
2020,Castro,1-Lubbock,Permanent,1,31.4193548387097
2020,Chambers,6-Houston,Not Permanent,2,34.5
2020,Chambers,6-Houston,Permanent,1,2.96774193548387
2020,Cherokee,4-Tyler,Not Permanent,9,32.8924731182796
2020,Cherokee,4-Tyler,Permanent,30,14.4365591397849
