Econ_Region,Year,County,Region,fips,lon,lat,Child_Population,Total_Population,DFPS_children_Total_County,Adopt_Need_Total_County,Homes_Total_County,Total_Families_Served_HOPES,Total_Families_Served_HIP,Total_Families_Served_TNFP,Total_Families_Served_THV_MIECHV,Total_Families_Served_THV_STATE,Total_Families_Served_THV,Physician_Access,Uninsured Rate,Graduation Rate,Personal Income per Capita,Average Wages,Population Density
Alamo,2014,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,489367,1860266,5445,897,230,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5568,21996,51,3,NA,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12882,47394,243,53,6,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,38021,145580,195,25,8,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1563,7420,10,NA,2,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Victoria,8-San Antonio,48469,-96.97176602,28.79640594,22795,90819,255,36,9,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Gillespie,8-San Antonio,48171,-98.94627245,30.31800246,4884,25273,34,13,NA,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Kerr,8-San Antonio,48265,-99.35016969,30.06153035,10029,50604,156,29,4,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11304,46322,111,18,3,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3780,14777,18,1,5,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4474,20693,64,12,NA,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Kendall,8-San Antonio,48259,-98.71160511,29.9446397,8704,37826,39,4,NA,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Medina,8-San Antonio,48325,-99.11008331,29.35520493,11538,47769,197,65,8,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Comal,8-San Antonio,48091,-98.27814516,29.80816362,27749,122263,303,32,9,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Gonzales,8-San Antonio,48177,-97.49279927,29.45641495,5473,20473,50,8,NA,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Karnes,8-San Antonio,48255,-97.85960621,28.90493782,3049,14978,56,9,1,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Lavaca,8-San Antonio,48285,-96.93020993,29.38437003,4541,19683,30,12,5,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2014,Frio,8-San Antonio,48163,-99.10826004,28.86726774,4372,18282,92,22,5,NA,NA,NA,NA,NA,NA,188,18.7,88,41717,44835,151.6
Alamo,2015,Atascosa,8-San Antonio,48013,-98.52741302,28.89418432,12917,48087,214,49,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Bandera,8-San Antonio,48019,-99.24637282,29.74724753,3548,20830,41,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Bexar,8-San Antonio,48029,-98.51966309,29.44884523,495888,1897850,5002,895,214,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Jackson,8-San Antonio,48239,-96.57883268,28.95603133,3810,14965,17,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Calhoun,8-San Antonio,48057,-96.64708119,28.48966896,5553,22144,51,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,DeWitt,8-San Antonio,48123,-97.35666976,29.08201599,4483,20855,70,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Comal,8-San Antonio,48091,-98.27814516,29.80816362,28362,126054,411,65,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Wilson,8-San Antonio,48493,-98.08621015,29.17315896,11333,47206,102,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Goliad,8-San Antonio,48175,-97.42646082,28.65708563,1559,7485,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo,2015,Guadalupe,8-San Antonio,48187,-97.94850308,29.58257236,38629,149395,252,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
