"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Kerr","$51,768","$2,723,001,000","$57,789","$43,095","12.5","20.4"
"Kimble","$44,371","$192,438,000","$44,757","$32,320","17","32.6"
"King","$78,849","$21,447,000","$71,256","$40,803","11","16.7"
"Kinney","$32,219","$118,147,000","$47,076","$48,042","18.9","24.7"
"Kleberg","$41,526","$1,274,025,000","$47,169","$40,842","23.3","31"
"Knox","$39,587","$145,046,000","$40,808","$44,056","19.1","30.8"
"La Salle","$39,913","$300,145,000","$41,683","$71,990","26.6","27.4"
"Lamar","$43,063","$2,147,064,000","$47,061","$43,680","18.4","27.3"
"Lamb","$45,655","$588,630,000","$42,719","$43,457","18.5","26.1"
"Lampasas","$50,656","$1,085,460,000","$58,817","$36,542","12.4","19.2"
"Lavaca","$53,483","$1,077,906,000","$52,632","$42,403","11","14.5"
"Lee","$50,665","$873,419,000","$59,250","$54,641","10.7","16.1"
"Leon","$40,056","$697,138,000","$50,522","$55,633","14.4","22.2"
"Liberty","$37,874","$3,341,225,000","$53,274","$48,195","14.4","19"
"Limestone","$37,774","$885,313,000","$43,644","$45,472","19.2","26"
"Lipscomb","$77,810","$251,560,000","$65,388","$53,628","12.4","17.2"
"Live Oak","$37,415","$456,731,000","$54,163","$61,089","16.5","23"
"Llano","$49,905","$1,087,688,000","$55,617","$38,913","10.8","20.7"
"Loving","$53,734","$9,081,000","$88,487","$78,135","7.1","10.2"
"Lubbock","$44,311","$13,761,558,000","$54,733","$45,118","17.9","22.5"
"Lynn","$43,141","$256,735,000","$45,737","$48,957","16","23.4"
"Madison","$32,648","$466,347,000","$46,274","$39,384","17.8","22.2"
"Marion","$39,895","$393,125,000","$37,876","$34,450","21.4","32.9"
"Martin","$60,844","$351,128,000","$68,745","$59,153","12.1","17.9"
"Mason","$47,439","$202,754,000","$54,914","$34,283","11.7","20.4"
"Matagorda","$45,237","$1,657,614,000","$49,276","$56,298","17.5","24.1"
"Maverick","$31,380","$1,842,681,000","$40,017","$35,059","26.9","40.3"
"McCulloch","$38,895","$310,537,000","$43,262","$41,729","17.6","26.4"
"McLennan","$42,159","$10,818,901,000","$51,078","$46,902","18","22.6"
"McMullen","$65,250","$48,481,000","$68,349","$56,402","10.5","13.8"
"Medina","$41,095","$2,119,867,000","$60,695","$38,571","12.2","19.4"
"Menard","$37,218","$79,573,000","$38,425","$28,428","20.7","35.4"
"Midland","$130,983","$23,161,978,000","$85,811","$78,610","9.9","12.3"
"Milam","$37,238","$924,367,000","$48,989","$41,661","16.3","25.1"
"Mills","$39,334","$191,673,000","$46,876","$34,735","13.2","24.9"
"Mitchell","$33,593","$287,052,000","$44,457","$43,530","19.5","23.4"
"Montague","$42,230","$836,915,000","$53,649","$42,035","12.9","18"
"Montgomery","$63,424","$38,523,113,000","$88,833","$58,352","8.9","13.2"
"Moore","$46,108","$965,508,000","$55,099","$47,714","11.9","15.1"
"Morris","$41,068","$508,749,000","$43,304","$52,542","18.1","29"
"Motley","$32,988","$39,585,000","$40,217","$29,981","17.6","30.9"
